NAME_1 VERB_1 NAME_2	Name_1 Name_2 mk Verb_1
NAME_1 VERB_1 NAME_3	Name_1 Name_3 mk Verb_1
NAME_1 VERB_1 NAME_4	Name_1 Name_4 mk Verb_1
NAME_1 VERB_1 NAME_5	Name_1 Name_5 mk Verb_1
NAME_1 VERB_1 NAME_6	Name_1 Name_6 mk Verb_1
NAME_2 VERB_1 NAME_1	Name_2 Name_1 mk Verb_1
NAME_2 VERB_1 NAME_3	Name_2 Name_3 mk Verb_1
NAME_2 VERB_1 NAME_4	Name_2 Name_4 mk Verb_1
NAME_2 VERB_1 NAME_5	Name_2 Name_5 mk Verb_1
NAME_2 VERB_1 NAME_6	Name_2 Name_6 mk Verb_1
NAME_3 VERB_1 NAME_1	Name_3 Name_1 mk Verb_1
NAME_3 VERB_1 NAME_2	Name_3 Name_2 mk Verb_1
NAME_3 VERB_1 NAME_4	Name_3 Name_4 mk Verb_1
NAME_3 VERB_1 NAME_5	Name_3 Name_5 mk Verb_1
NAME_3 VERB_1 NAME_6	Name_3 Name_6 mk Verb_1
NAME_4 VERB_1 NAME_1	Name_4 Name_1 mk Verb_1
NAME_4 VERB_1 NAME_2	Name_4 Name_2 mk Verb_1
NAME_4 VERB_1 NAME_3	Name_4 Name_3 mk Verb_1
NAME_4 VERB_1 NAME_5	Name_4 Name_5 mk Verb_1
NAME_4 VERB_1 NAME_6	Name_4 Name_6 mk Verb_1
NAME_5 VERB_1 NAME_1	Name_5 Name_1 mk Verb_1
NAME_5 VERB_1 NAME_2	Name_5 Name_2 mk Verb_1
NAME_5 VERB_1 NAME_3	Name_5 Name_3 mk Verb_1
NAME_5 VERB_1 NAME_4	Name_5 Name_4 mk Verb_1
NAME_5 VERB_1 NAME_6	Name_5 Name_6 mk Verb_1
NAME_6 VERB_1 NAME_1	Name_6 Name_1 mk Verb_1
NAME_6 VERB_1 NAME_2	Name_6 Name_2 mk Verb_1
NAME_6 VERB_1 NAME_3	Name_6 Name_3 mk Verb_1
NAME_6 VERB_1 NAME_4	Name_6 Name_4 mk Verb_1
NAME_6 VERB_1 NAME_5	Name_6 Name_5 mk Verb_1
NAME_1 VERB_2 NAME_2	Name_1 Name_2 mk Verb_2
NAME_1 VERB_2 NAME_3	Name_1 Name_3 mk Verb_2
NAME_1 VERB_2 NAME_4	Name_1 Name_4 mk Verb_2
NAME_1 VERB_2 NAME_5	Name_1 Name_5 mk Verb_2
NAME_1 VERB_2 NAME_6	Name_1 Name_6 mk Verb_2
NAME_2 VERB_2 NAME_1	Name_2 Name_1 mk Verb_2
NAME_2 VERB_2 NAME_3	Name_2 Name_3 mk Verb_2
NAME_2 VERB_2 NAME_4	Name_2 Name_4 mk Verb_2
