NAME_1 VERB_1 NAME_2	Name_1 Name_2 mk Verb_1
NAME_1 VERB_1 NAME_3	Name_3 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_4	Name_4 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_5	Name_5 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_6	Name_6 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_7	Name_7 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_8	Name_8 mk Name_1 Verb_1
NAME_1 VERB_1 NAME_9	Name_1 Name_9 mk Verb_1
NAME_1 VERB_1 NAME_10	Name_1 Name_10 mk Verb_1
NAME_2 VERB_1 NAME_1	Name_2 Name_1 mk Verb_1
NAME_2 VERB_1 NAME_3	Name_3 mk Name_2 Verb_1
NAME_2 VERB_1 NAME_4	Name_4 mk Name_2 Verb_1
NAME_2 VERB_1 NAME_5	Name_2 Name_5 mk Verb_1
NAME_2 VERB_1 NAME_6	Name_2 Name_6 mk Verb_1
NAME_2 VERB_1 NAME_7	Name_2 Name_7 mk Verb_1
NAME_2 VERB_1 NAME_8	Name_8 mk Name_2 Verb_1
NAME_2 VERB_1 NAME_9	Name_2 Name_9 mk Verb_1
NAME_2 VERB_1 NAME_10	Name_10 mk Name_2 Verb_1
NAME_3 VERB_1 NAME_1	Name_3 Name_1 mk Verb_1
NAME_3 VERB_1 NAME_2	Name_2 mk Name_3 Verb_1
NAME_3 VERB_1 NAME_4	Name_4 mk Name_3 Verb_1
NAME_3 VERB_1 NAME_5	Name_3 Name_5 mk Verb_1
NAME_3 VERB_1 NAME_6	Name_3 Name_6 mk Verb_1
NAME_3 VERB_1 NAME_7	Name_7 mk Name_3 Verb_1
NAME_3 VERB_1 NAME_8	Name_3 Name_8 mk Verb_1
NAME_3 VERB_1 NAME_9	Name_3 Name_9 mk Verb_1
NAME_3 VERB_1 NAME_10	Name_10 mk Name_3 Verb_1
NAME_4 VERB_1 NAME_1	Name_1 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_2	Name_2 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_3	Name_4 Name_3 mk Verb_1
NAME_4 VERB_1 NAME_5	Name_5 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_6	Name_6 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_7	Name_4 Name_7 mk Verb_1
NAME_4 VERB_1 NAME_8	Name_8 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_9	Name_9 mk Name_4 Verb_1
NAME_4 VERB_1 NAME_10	Name_4 Name_10 mk Verb_1
NAME_5 VERB_1 NAME_1	Name_5 Name_1 mk Verb_1
NAME_5 VERB_1 NAME_2	Name_5 Name_2 mk Verb_1
NAME_5 VERB_1 NAME_3	Name_3 mk Name_5 Verb_1
NAME_5 VERB_1 NAME_4	Name_4 mk Name_5 Verb_1
NAME_5 VERB_1 NAME_6	Name_6 mk Name_5 Verb_1
NAME_5 VERB_1 NAME_7	Name_5 Name_7 mk Verb_1
NAME_5 VERB_1 NAME_8	Name_5 Name_8 mk Verb_1
NAME_5 VERB_1 NAME_9	Name_5 Name_9 mk Verb_1
NAME_5 VERB_1 NAME_10	Name_5 Name_10 mk Verb_1
NAME_6 VERB_1 NAME_1	Name_1 mk Name_6 Verb_1
NAME_6 VERB_1 NAME_2	Name_2 mk Name_6 Verb_1
NAME_6 VERB_1 NAME_3	Name_6 Name_3 mk Verb_1
NAME_6 VERB_1 NAME_4	Name_6 Name_4 mk Verb_1
NAME_6 VERB_1 NAME_5	Name_6 Name_5 mk Verb_1
NAME_6 VERB_1 NAME_7	Name_7 mk Name_6 Verb_1
NAME_6 VERB_1 NAME_8	Name_8 mk Name_6 Verb_1
NAME_6 VERB_1 NAME_9	Name_9 mk Name_6 Verb_1
NAME_6 VERB_1 NAME_10	Name_10 mk Name_6 Verb_1
NAME_7 VERB_1 NAME_1	Name_1 mk Name_7 Verb_1
NAME_7 VERB_1 NAME_2	Name_7 Name_2 mk Verb_1
NAME_7 VERB_1 NAME_3	Name_7 Name_3 mk Verb_1
NAME_7 VERB_1 NAME_4	Name_7 Name_4 mk Verb_1
NAME_7 VERB_1 NAME_5	Name_5 mk Name_7 Verb_1
NAME_7 VERB_1 NAME_6	Name_6 mk Name_7 Verb_1
NAME_7 VERB_1 NAME_8	Name_7 Name_8 mk Verb_1
NAME_7 VERB_1 NAME_9	Name_9 mk Name_7 Verb_1
NAME_7 VERB_1 NAME_10	Name_10 mk Name_7 Verb_1
NAME_8 VERB_1 NAME_1	Name_1 mk Name_8 Verb_1
NAME_8 VERB_1 NAME_2	Name_8 Name_2 mk Verb_1
NAME_8 VERB_1 NAME_3	Name_8 Name_3 mk Verb_1
NAME_8 VERB_1 NAME_4	Name_4 mk Name_8 Verb_1
NAME_8 VERB_1 NAME_5	Name_8 Name_5 mk Verb_1
NAME_8 VERB_1 NAME_6	Name_8 Name_6 mk Verb_1
NAME_8 VERB_1 NAME_7	Name_7 mk Name_8 Verb_1
NAME_8 VERB_1 NAME_9	Name_8 Name_9 mk Verb_1
NAME_8 VERB_1 NAME_10	Name_8 Name_10 mk Verb_1
NAME_9 VERB_1 NAME_1	Name_1 mk Name_9 Verb_1
NAME_9 VERB_1 NAME_2	Name_2 mk Name_9 Verb_1
NAME_9 VERB_1 NAME_3	Name_3 mk Name_9 Verb_1
NAME_9 VERB_1 NAME_4	Name_9 Name_4 mk Verb_1
NAME_9 VERB_1 NAME_5	Name_5 mk Name_9 Verb_1
NAME_9 VERB_1 NAME_6	Name_6 mk Name_9 Verb_1
NAME_9 VERB_1 NAME_7	Name_9 Name_7 mk Verb_1
NAME_9 VERB_1 NAME_8	Name_9 Name_8 mk Verb_1
NAME_9 VERB_1 NAME_10	Name_9 Name_10 mk Verb_1
NAME_10 VERB_1 NAME_1	Name_1 mk Name_10 Verb_1
NAME_10 VERB_1 NAME_2	Name_2 mk Name_10 Verb_1
NAME_10 VERB_1 NAME_3	Name_10 Name_3 mk Verb_1
NAME_10 VERB_1 NAME_4	Name_10 Name_4 mk Verb_1
NAME_10 VERB_1 NAME_5	Name_10 Name_5 mk Verb_1
NAME_10 VERB_1 NAME_6	Name_10 Name_6 mk Verb_1
NAME_10 VERB_1 NAME_7	Name_7 mk Name_10 Verb_1
NAME_10 VERB_1 NAME_8	Name_10 Name_8 mk Verb_1
NAME_10 VERB_1 NAME_9	Name_10 Name_9 mk Verb_1
NAME_1 VERB_2 NAME_2	Name_2 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_3	Name_3 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_4	Name_4 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_5	Name_5 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_6	Name_6 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_7	Name_1 Name_7 mk Verb_2
NAME_1 VERB_2 NAME_8	Name_8 mk Name_1 Verb_2
NAME_1 VERB_2 NAME_9	Name_1 Name_9 mk Verb_2
NAME_1 VERB_2 NAME_10	Name_10 mk Name_1 Verb_2
NAME_2 VERB_2 NAME_1	Name_2 Name_1 mk Verb_2
NAME_2 VERB_2 NAME_3	Name_2 Name_3 mk Verb_2
NAME_2 VERB_2 NAME_4	Name_2 Name_4 mk Verb_2
NAME_2 VERB_2 NAME_5	Name_5 mk Name_2 Verb_2
NAME_2 VERB_2 NAME_6	Name_6 mk Name_2 Verb_2
NAME_2 VERB_2 NAME_7	Name_2 Name_7 mk Verb_2
NAME_2 VERB_2 NAME_8	Name_2 Name_8 mk Verb_2
NAME_2 VERB_2 NAME_9	Name_9 mk Name_2 Verb_2
NAME_2 VERB_2 NAME_10	Name_10 mk Name_2 Verb_2
NAME_3 VERB_2 NAME_1	Name_3 Name_1 mk Verb_2
NAME_3 VERB_2 NAME_2	Name_2 mk Name_3 Verb_2
NAME_3 VERB_2 NAME_4	Name_4 mk Name_3 Verb_2
NAME_3 VERB_2 NAME_5	Name_5 mk Name_3 Verb_2
NAME_3 VERB_2 NAME_6	Name_3 Name_6 mk Verb_2
NAME_3 VERB_2 NAME_7	Name_3 Name_7 mk Verb_2
NAME_3 VERB_2 NAME_8	Name_8 mk Name_3 Verb_2
NAME_3 VERB_2 NAME_9	Name_9 mk Name_3 Verb_2
NAME_3 VERB_2 NAME_10	Name_10 mk Name_3 Verb_2
